pid,nom_prod,prix,quantite_disp,,disponibilite,marque,poids,couleur,garantie
 308,Tablette Huawei MatePad Pro,309,22,,Disponible,huawei,0.5,blanc,false
 309,Tablette tactile Huawei MatePad T10s,18,68,,Disponible,huawei,0.4,rouge,false
 310,Apple iPad Pro,141,58,,Disponible,apple,0.6,noir,true
 311,Tablette tactile Huawei MatePad T10s,342,39,,Disponible,huawei,0.4,noir,true
 312,iPad Air,300,25,,Disponible,apple,0.5,argent,false
 313,Ipad Asus TM340,309,59,,Disponible,asus,0.6,blanc,true
 314,Tablette tactile Huawei MatePad T10s,63,67,,Disponible,huawei,0.6,rouge,true
 315,Tablette tactile Samsung Galaxy Tab,167,55,,Disponible,samsung,0.6,noir,false
 316,Tablette tactile Huawei MatePad,275,5,,Disponible,huawei,0.6,noir,true
 317,Tablette Huawei MatePad Pro,312,5,2021-07-30,Non Disponible,huawei,0.7,bleu,true
 318,iPad Air,284,89,,Disponible,apple,0.4,vert,true
 319,Tablette tactile Samsung Tab S6,286,26,,Disponible,samsung,0.5,rouge,false
 320,Ipad Asus Bird V2,181,61,,Disponible,asus,0.6,vert,false
 321,Tablette tactile Samsung Galaxy Tab,95,80,2021-10-30,Bientôt Disponible,samsung,0.6,argent,false
 322,Apple iPad Pro Air,336,85,,Disponible,apple,0.7,vert,false
 323,Apple iPad Pro,293,56,,Disponible,apple,0.7,bleu,true
 324,Apple ipad Pro Air 2,95,7,,Disponible,apple,0.7,blanc,false
 325,iPad Air,254,84,,Disponible,apple,0.5,rouge,false
 326,Apple iPad Pro,167,1,,Disponible,apple,0.5,bleu,false
 327,Ipad Asus TM340,273,41,2021-11-28,Non Disponible,asus,0.5,vert,false
 328,Ipad Asus ASX,78,70,,Disponible,asus,0.7,vert,false
 329,Apple iPad Pro Air,90,11,,Disponible,apple,0.6,blanc,true
 330,Tablette Huawei MatePad Pro,198,1,,Disponible,huawei,0.5,bleu,false
 331,Apple iPad Pro,280,10,2021-07-03,Non Disponible,apple,0.4,noir,false
 332,iPad Air,225,67,,Disponible,apple,0.5,vert,true
 333,Tablette tactile Huawei MatePad,338,54,,Disponible,huawei,0.6,vert,false
 334,iPad Air,40,46,,Disponible,apple,0.7,blanc,true
 335,Ipad Asus Bird V2,253,63,,Disponible,asus,0.7,bleu,true
 336,Ipad Asus TM340,116,89,,Disponible,asus,0.4,blanc,true
 337,Tablette tactile Huawei MatePad T10s,177,43,,Disponible,huawei,0.7,argent,true
 338,Tablette Huawei MatePad Pro,44,3,,Disponible,huawei,0.6,blanc,true
 339,Tablette tactile Huawei MatePad,174,14,,Disponible,huawei,0.5,blanc,true
 340,Apple iPad Pro,48,21,,Disponible,apple,0.4,blanc,true
 341,Tablette tactile Huawei MatePad T10s,111,33,,Disponible,huawei,0.7,argent,true
 342,iPad Air,120,24,,Disponible,apple,0.7,vert,false
 343,Ipad Asus TM340,251,39,,Disponible,asus,0.5,bleu,true
 344,Ipad Asus Bird argent,326,8,2021-11-07,Bientôt Disponible,asus,0.5,argent,false
 345,Tablette tactile Samsung Tab S6,222,25,,Disponible,samsung,0.4,argent,false
 346,Ipad Asus TM340,265,25,2021-06-14,Non Disponible,asus,0.6,vert,false
 347,Tablette tactile Samsung Galaxy Tab,343,47,,Disponible,samsung,0.6,blanc,true
 348,Tablette tactile Huawei MatePad,345,47,,Disponible,huawei,0.4,noir,false
 349,iPad Air,247,68,,Disponible,apple,0.4,argent,false
 350,Ipad Asus TM340,237,15,,Disponible,asus,0.6,bleu,false
 351,Tablette tactile Samsung Tab S6,221,69,,Disponible,samsung,0.7,argent,false
 352,Ipad Asus TM340,347,30,2021-06-14,Non Disponible,asus,0.7,rouge,false
 353,Tablette tactile Samsung Galaxy Tab,29,86,,Disponible,samsung,0.5,blanc,true
 354,Apple iPad Pro,298,48,,Disponible,apple,0.7,vert,true
 355,Ipad Asus Bird rouge,162,20,,Disponible,asus,0.7,rouge,false
 356,Tablette Huawei MatePad Pro,114,85,2021-06-11,Non Disponible,huawei,0.6,noir,false
 357,Ipad Asus Bird vert,116,53,,Disponible,asus,0.7,vert,false
 358,Ipad Asus TM340,50,19,,Disponible,asus,0.5,bleu,false
 359,Tablette tactile Huawei MatePad T10s,320,90,2021-08-29,Bientôt Disponible,huawei,0.4,vert,false
 360,iPad Air,54,7,,Disponible,apple,0.6,blanc,false
 361,Ipad Asus TM340,84,12,,Disponible,asus,0.6,rouge,false
 362,Ipad Asus ASX3,76,15,,Disponible,asus,0.6,noir,true
 363,Apple ipad Pro New,302,83,,Disponible,apple,0.6,blanc,false
 364,Tablette tactile Samsung Tab S6,42,0,2021-06-15,Non Disponible,samsung,0.5,vert,true
 365,Apple iPad Pro,50,45,,Disponible,apple,0.6,vert,true
 366,Tablette tactile Samsung Galaxy Tab argent,93,76,,Disponible,samsung,0.6,argent,false
 367,Tablette tactile Samsung Galaxy Tab noir,128,35,,Disponible,samsung,0.4,noir,true
 368,Apple iPad Air,162,80,,Disponible,apple,0.6,blanc,true
 369,Ipad Asus TM340,305,89,,Disponible,asus,0.7,blanc,true
 370,Ipad Asus LoopHouse,252,29,,Disponible,asus,0.7,vert,false
 371,Ipad Asus LoopHouse V2,68,37,,Disponible,asus,0.6,argent,true
 372,Tablette tactile Samsung Tab S6,321,18,2021-06-13,Non Disponible,samsung,0.7,vert,true
 373,Tablette Huawei MatePad Pro,54,61,,Disponible,huawei,0.7,bleu,true
 374,Tablette tactile Huawei MatePad,136,5,2021-06-25,Non Disponible,huawei,0.6,noir,true
 375,iPad Air,249,8,,Disponible,apple,0.5,bleu,false
 376,Tablette tactile Huawei MatePad T10s,100,66,,Disponible,huawei,0.4,vert,true
 377,Ipad Asus TM340,314,5,,Disponible,asus,0.5,vert,true
 378,Ipad Asus TM340,163,0,,Disponible,asus,0.5,bleu,false
 379,Tablette tactile Samsung Galaxy Tab,310,71,,Disponible,samsung,0.7,argent,false
 380,Apple iPad Pro,248,71,,Disponible,apple,0.6,blanc,true
 381,Tablette tactile Huawei MatePad,94,9,,Disponible,huawei,0.4,bleu,false
 382,Ipad Asus TM340,177,54,,Disponible,asus,0.7,noir,false
 383,Tablette Huawei MatePad Pro,250,86,,Disponible,huawei,0.5,argent,false
 384,iPad Air,203,2,,Disponible,apple,0.7,argent,false
 385,Tablette tactile Huawei MatePad,22,61,,Disponible,huawei,0.5,blanc,false 
 386,Tablette tactile Samsung Tab S6,112,86,2021-07-17,Non Disponible,samsung,0.6,argent,false
 387,Tablette tactile Samsung Galaxy Tab A7,52,76,2021-06-03,Non Disponible,samsung,0.4,argent,true
 388,Ipad Asus Bird V2,197,43,,Disponible,asus,0.4,rouge,true
 389,iPad Air,289,32,,Disponible,apple,0.6,rouge,true
 390,Apple iPad Pro,171,5,,Disponible,apple,0.7,argent,true
 391,Tablette tactile Huawei MatePad,333,12,,Disponible,huawei,0.4,argent,true 
 392,Tablette tactile Samsung Tab S6,169,48,,Disponible,samsung,0.7,vert,false
 393,Tablette tactile Samsung Galaxy Tab,88,1,,Disponible,samsung,0.6,blanc,false
 394,iPad Air,308,81,,Disponible,apple,0.7,vert,true
 395,Tablette Huawei MatePad Pro,111,23,,Disponible,huawei,0.7,rouge,false
 396,Tablette tactile Samsung Tab S6,54,49,,Disponible,samsung,0.7,bleu,false
 397,Ipad Asus TM340,256,21,,Disponible,asus,0.7,noir,false
 398,iPad Air,277,16,,Disponible,apple,0.7,blanc,true
 399,Tablette tactile Huawei MatePad T10s,333,7,,Disponible,huawei,0.5,blanc,false
 400,Tablette tactile Huawei MatePad,32,31,2021-11-22,Non Disponible,huawei,0.5,argent,false
 401,Appareil photo Instantané Fujifilm Instax Mini,67,78,,Disponible,fujifilm,0.78,argent,true
 402,Bridge Numérique Sony DSC-HX400V,181,75,2021-06-06,Non Disponible,sony,0.78,noir,false
 403,Hybride Fujifilm X-T30,83,27,,Disponible,fujifilm,1.05,bleu,true
 404,Appareil photo hybride Olympus OM-D V2,247,30,2021-11-30,Non Disponible,olympus,0.95,vert,false
 405,Appareil photo hybride Olympus OM-D,245,86,2021-09-22,Non Disponible,olympus,0.78,vert,true
 406,Compact Olympus Tough TG-6 ,94,7,2021-08-13,Non Disponible,olympus,0.65,bleu,false
 407,Appareil photo Instantané Fujifilm Instax Mini,195,16,,Disponible,fujifilm,0.78,vert,true
 408,Appareil photo hybride Olympus OM-D,90,26,2021-07-23,Non Disponible,olympus,0.78,bleu,false
 409,Hybride Fujifilm X-T30,37,51,,Disponible,fujifilm,1.05,blanc,true
 410,Appareil Photo Reflex Canon EOS,67,33,2021-06-30,Non Disponible,canon,1,blanc,true 
 411,Bridge numérique Panasonic Lumix DMC-FZ2000,43,49,,Disponible,panasonic,1,vert,true
 412,Compact expert Panasonic Lumix DMC-LX15,245,30,2021-12-24,Non Disponible,panasonic,0.78,noir,true
 413,Hybride Fujifilm X-T30,290,73,,Disponible,fujifilm,0.65,rouge,true
 414,Appareil photo hybride Olympus OM-D,298,77,2021-12-01,Non Disponible,olympus,1.05,blanc,false
 415,Appareil photo compact CANON SX720 ,101,52,,Disponible,canon,1,blanc,true
 416,Hybride Fujifilm X-T30,266,11,,Disponible,fujifilm,0.78,rouge,true 
 417,Compact Canon Ixus,347,32,,Disponible,canon,1.05,bleu,true
 418,Bridge Numérique Sony DSC-HX400V,313,13,,Disponible,sony,0.78,bleu,false
 419,Appareil photo hybride Olympus OM-D E-M5,108,35,,Disponible,olympus,0.95,blanc,true 
 420,Compact Panasonic DC-TZ200,213,80,,Disponible,panasonic,0.78,bleu,false 
 421,Appareil Photo Reflex Canon EOS,269,84,,Disponible,canon,1,bleu,false
 422,Compact Canon Ixus,159,5,,Disponible,canon,1.05,bleu,true 
 423,Hybride Sony Alpha A6000,277,11,2021-08-27,Non Disponible,sony,1,argent,true
 424,Bridge Numérique Sony DSC-HX400V,46,28,,Disponible,sony,0.78,blanc,false
 425,Hybride Fujifilm X-T30,30,14,,Disponible,fujifilm,0.95,bleu,false 
 426,Compact Canon Ixus,207,33,,Disponible,canon,0.78,bleu,false
 427,Hybride Sony Alpha A6000,185,19,,Disponible,sony,1.05,blanc,false
 428,Bridge Numérique Sony DSC-HX400V,325,70,2021-08-22,Non Disponible,sony,1,argent,false
 429,Appareil photo Instantané Fujifilm Instax Mini,321,67,,Disponible,fujifilm,0.78,blanc,false
 430,Hybride Fujifilm X-T30,150,19,2021-07-30,Bientôt Disponible,fujifilm,0.78,bleu,true
 431,Appareil Photo Instantané Fujifilm Instax,236,83,,Disponible,fujifilm,0.95,blanc,true
 432,Appareil photo hybride Olympus OM-D,329,68,,Disponible,olympus,0.65,blanc,true
 433,Hybride Fujifilm X-T30,100,83,,Disponible,fujifilm,0.95,argent,false
 434,Bridge Numérique Sony DSC-HX400V,168,31,,Disponible,sony,0.65,noir,true
 435,Appareil Photo Reflex Canon EOS,201,67,2021-09-11,Non Disponible,canon,1,blanc,true
 436,Hybride Sony Alpha A6000,16,80,,Disponible,sony,1.05,vert,false
 437,Compact expert Panasonic Lumix DMC-LX15,246,72,,Disponible,panasonic,0.78,rouge,true
 438,Compact Panasonic DC-TZ200,162,12,,Disponible,panasonic,1,rouge,true
 439,Bridge numérique Panasonic Lumix DMC-FZ2000,69,46,,Disponible,panasonic,1.05,vert,true
 440,Appareil photo Instantané Fujifilm Instax Mini,50,86,,Disponible,fujifilm,0.65,vert,true 
 441,Appareil Photo Instantané Fujifilm Instax,155,30,,Disponible,fujifilm,0.78,rouge,false
 442,Bridge Numérique Sony DSC-HX400V,170,62,,Disponible,sony,1,blanc,false
 443,Appareil photo Instantané Fujifilm Instax Mini,239,10,,Disponible,fujifilm,0.78,vert,true
 444,Compact expert Panasonic Lumix DMC-LX15,27,24,,Disponible,panasonic,1,bleu,true
 445,Appareil photo Hybride Olympus E-M10 ,27,80,,Disponible,olympus,0.78,vert,true
 446,Appareil Photo Instantané Fujifilm Instax,267,69,,Disponible,fujifilm,0.95,noir,true
 447,Appareil photo compact CANON SX720 ,270,56,,Disponible,canon,1.05,bleu,false
 448,Compact Olympus Tough TG-6 ,201,12,,Disponible,olympus,0.78,bleu,true
 449,Bridge numérique Panasonic Lumix DMC-FZ2000,64,51,,Disponible,panasonic,1.05,rouge,true
 450,Bridge numérique Canon PowerShot,127,45,,Disponible,canon,0.65,argent,true
 451,Appareil Photo Reflex Canon EOS,112,16,,Disponible,canon,0.95,vert,true
 452,Appareil Photo Instantané Fujifilm Instax,334,89,,Disponible,fujifilm,1.05,bleu,true
 453,Appareil photo Instantané Fujifilm Instax Mini,146,19,,Disponible,fujifilm,0.95,rouge,true
 454,Hybride Sony Alpha A6000,201,41,,Disponible,sony,0.95,argent,true
 455,Compact Panasonic DC-TZ200,156,71,,Disponible,panasonic,0.95,argent,true
 456,Bridge Numérique Sony DSC-HX400V,159,70,,Disponible,sony,1.05,rouge,true
 457,Bridge numérique Canon PowerShot,239,78,,Disponible,canon,0.65,vert,false
 458,Appareil Photo Instantané Fujifilm Instax,168,41,,Disponible,fujifilm,0.95,bleu,false
 459,Appareil Photo Reflex Canon EOS,234,74,,Disponible,canon,1,rouge,false
 460,Appareil Photo Reflex Canon EOS 2000D,348,12,,Disponible,canon,0.95,rouge,true
 461,Hybride Sony Alpha A6000,91,56,,Disponible,sony,0.95,argent,true
 462,Appareil photo Hybride Olympus E-M10 ,212,83,,Disponible,olympus,1,bleu,false
 463,Compact Olympus Tough TG-6 ,176,81,2021-10-03,Bientôt Disponible,olympus,0.65,argent,true
 464,Appareil photo hybride Olympus OM-D E-M5,190,28,,Disponible,olympus,0.95,blanc,true
 465,Appareil photo Hybride Olympus E-M10 ,78,33,,Disponible,olympus,1,blanc,true
 466,Appareil photo compact Sony Cyber-shot DSC-HX60,57,24,,Disponible,sony,1,argent,false
 467,Appareil photo Instantané Fujifilm Instax Mini,40,86,,Disponible,fujifilm,0.95,vert,true
 468,Compact expert Panasonic Lumix DMC-LX15,277,66,,Disponible,panasonic,0.95,rouge,false
 469,Hybride Sony Alpha A6000,293,36,,Disponible,sony,0.65,rouge,false
 470,Appareil photo Hybride Olympus E-M10 Mark III,332,27,,Disponible,olympus,0.78,bleu,false
 471,Appareil photo compact Sony Cyber-shot DSC-HX60,285,23,,Disponible,sony,1,blanc,false
 472,Appareil Photo Reflex Canon EOS 2000D,128,90,,Disponible,canon,0.95,vert,true
 473,Appareil photo Hybride Olympus E-M10 Mark IV ,253,21,,Disponible,olympus,1.05,vert,false
 474,Bridge Numérique Sony DSC-HX400V,142,29,,Disponible,sony,0.65,vert,true
 475,Appareil photo hybride Olympus OM-D E-M5,199,53,,Disponible,olympus,1.05,noir,false
 476,Compact Panasonic DC-TZ200,32,83,,Disponible,panasonic,0.65,rouge,true
 477,Hybride Sony Alpha A6000,252,30,,Disponible,sony,0.65,vert,false
 478,Hybride Sony Alpha A6000 V2,253,9,,Disponible,sony,0.95,argent,true
 479,Reflex Canon EOS 2000D,28,52,,Disponible,canon,1,rouge,true
 480,Appareil Photo Reflex Canon EOS,320,7,,Disponible,canon,1,noir,false
 481,Appareil photo Hybride Olympus E-M10 ,186,9,,Disponible,olympus,1.05,blanc,false
 482,Appareil photo Instantané Fujifilm Instax Mini,348,23,,Disponible,fujifilm,1,blanc,false
 483,Appareil Photo Instantané Fujifilm Instax,92,78,,Disponible,fujifilm,1,rouge,true
 484,Appareil photo Hybride Olympus E-M10 Mark IV,25,4,,Disponible,olympus,1.05,bleu,true
 485,Compact Olympus Tough TG-6 ,313,13,,Disponible,olympus,1.05,rouge,true
 486,Reflex Canon EOS 2000D,105,25,,Disponible,canon,0.78,vert,false
 487,Appareil photo Instantané Fujifilm Instax Mini,55,32,,Disponible,fujifilm,0.65,rouge,false
 488,Hybride Sony Alpha A6000,99,55,,Disponible,sony,1,bleu,true
 489,Compact Olympus Tough TG-6 ,167,25,,Disponible,olympus,0.65,rouge,true
 490,Appareil photo Hybride Olympus E-M10 ,203,26,,Disponible,olympus,0.78,bleu,true
 491,Appareil photo compact Sony Cyber-shot DSC-HX60,57,83,,Disponible,sony,0.78,argent,false
 492,Appareil Photo Instantané Fujifilm Instax,313,71,,Disponible,fujifilm,0.65,argent,true
 493,Compact Panasonic DC-TZ200,290,3,,Disponible,panasonic,0.78,argent,false
 494,Bridge numérique Panasonic Lumix DMC-FZ2000,319,76,,Disponible,panasonic,1.05,vert,true
 495,Appareil Photo Instantané Fujifilm Instax,189,37,,Disponible,fujifilm,1.05,argent,true
 496,Compact expert Panasonic Lumix DMC-LX15,277,36,,Disponible,panasonic,0.95,rouge,false
 497,Appareil photo Instantané Fujifilm Instax Mini,302,13,,Disponible,fujifilm,0.95,vert,true
 498,Bridge numérique Panasonic Lumix DMC-FZ2000,200,24,,Disponible,panasonic,0.95,bleu,true
 499,Compact Panasonic DC-TZ200,80,84,2021-11-09,Non Disponible,panasonic,0.65,argent,true
 500,Appareil photo compact Sony Cyber-shot DSC-HX60,51,59,,Disponible,sony,0.65,argent,true
 501,TV Samsung The Frame QE55LS03T,1191,105,,Disponible,samsung,7,blanc,false
 502,TV LG OLED88ZX,579,55,,Disponible,lg,5,noir,true
 503,TV Sony 65X7056 LED,1393,45,,Disponible,sony,10,blanc,false
 504,TV Hisense 70A7100F,1285,104,,Disponible,hilsense,8,blanc,true
 505,TV Samsung UE43TU7125,1272,148,,Disponible,samsung,6,blanc,false
 506,TV Philips Android 43PUS9235,1531,11,,Disponible,philips,11,blanc,false
 507,TV Philips 65OLED855,1318,113,,Disponible,philips,5,blanc,true
 508,TV Hisense 43AE7200F,599,65,,Disponible,hilsense,10,argent,true
 509,TV Philips 5500 Séries 24PFS5535,962,138,,Disponible,philips,10,noir,true
 510,TV Panasonic TX-58EX700E ,1543,35,,Disponible,panasonic,9,noir,true
 511,TV Samsung 65Q60T ,692,25,,Disponible,samsung,8,argent,true
 512,TV LG 65NANO79,1263,65,,Disponible,lg,11,blanc,true
 513,TV Sony KD49X7056BAEP,997,62,2021-06-04,Bientôt Disponible,sony,7,argent,false
 514,TV Philips 65OLED855 OLED,620,78,,Disponible,philips,10,argent,false
 515,TV LG OLED65BX6LA,980,56,,Disponible,lg,10,argent,false
 516,TV Sony KD49XH8505BAEP,1263,105,,Disponible,sony,6,noir,false
 517,TV Samsung Crystal,1455,58,,Disponible,samsung,11,noir,false
 518,TV Hisense 55U7QF,1335,23,,Disponible,hilsense,7,noir,false
 519,TV Panasonic TX-55GZ2000E,1035,5,,Disponible,panasonic,6,blanc,false
 520,TV Philips 43PFS5505,571,56,,Disponible,philips,10,noir,false
 521,TV Philips 43PFS5505,1276,116,,Disponible,philips,5,argent,false
 522,TV Panasonic TX-55GZ2000E,1410,15,,Disponible,panasonic,9,noir,true
 523,TV Samsung 75TU7025,1271,6,,Disponible,samsung,7,noir,false
 524,TV LG 43UN7100,1544,92,,Disponible,lg,9,noir,true
 525,TV LG 43NANO796NE,1434,87,,Disponible,lg,10,blanc,true
 526,TV Samsung 55AU7105,942,106,,Disponible,samsung,7,noir,false
 527,TV LED Hisense 50U7QF,753,75,,Disponible,hilsense,9,noir,true
 528,TV Samsung QE85Q950TS,1462,149,,Disponible,samsung,11,noir,true
 529,TV intelligente Hisense HE32A5800,1348,86,,Disponible,hilsense,8,blanc,true
 530,TV LED PHILIPS 32PFS5603,1592,106,,Disponible,philips,8,blanc,true
 531,TV Sony KD43XH8077SAEP,1092,44,,Disponible,sony,11,argent,false
 532,TV Sony KD43XH8077SAEP,619,85,,Disponible,sony,9,noir,true
 533,TV LG 43NANO796NE,746,58,,Disponible,lg,9,argent,false
 534,TV Philips 50PUS7505,948,50,,Disponible,philips,8,noir,false
 535,TV Philips 50PUS7505,728,112,,Disponible,philips,11,blanc,true
 536,TV Samsung 55 QLED QE55Q68A,963,118,,Disponible,samsung,8,noir,false
 537,TV Hisense 55U8QF,1475,21,,Disponible,hilsense,6,noir,false
 538,TV LED Hisense 50AE7200F,1222,130,,Disponible,hilsense,11,blanc,false
 539,TV Philips 32PHS6605,519,106,,Disponible,philips,7,blanc,true
 540,TV LG 24TL510V-PZ,1162,93,2021-10-23,Bientôt Disponible,lg,6,noir,true
 541,TV LG 43UN7100,895,87,,Disponible,lg,9,argent,false
 542,TV Philips 55OLED855,1526,1,,Disponible,philips,5,noir,true
 543,TV Panasonic TX-65HZ980E,1211,91,,Disponible,panasonic,5,blanc,true
 544,TV Sony Bravia KD55AG9BAEP,674,83,,Disponible,sony,10,blanc,false
 545,TV LG 24TL510V-PZ,1418,110,,Disponible,lg,5,blanc,true 
 546,TV Sony Bravia KD65AG9BAEP,530,50,,Disponible,sony,8,noir,false
 547,TV Philips 55PUS7855,1050,3,,Disponible,philips,11,noir,true
 548,SMART TV Hisense 58A7100F,1463,26,,Disponible,hilsense,8,noir,false
 549,TV Philips 32PHS6605,1386,27,,Disponible,philips,11,noir,true
 550,TV Panasonic TX-65HZ980E,559,13,,Disponible,panasonic,7,noir,false
 551,TV Panasonic TX-55HZ1500E,697,92,,Disponible,panasonic,11,argent,false
 552,TV Sony KD49XH8077SAEP,971,39,,Disponible,sony,6,noir,false 
 553,TV Philips 58PUS7505,1389,13,,Disponible,philips,9,argent,true
 554,TV intelligente Sony Bravia KD49XH8096,1151,148,,Disponible,sony,6,blanc,false
 555,TV Panasonic TX-40FS503E,1010,96,,Disponible,panasonic,9,argent,true
 556,TV Samsung UE43TU7172,785,24,,Disponible,samsung,8,argent,false
 557,TV LG 55UN7100 Smart,513,16,,Disponible,lg,7,noir,false
 558,TV LED Panasonic,1157,73,,Disponible,panasonic,7,noir,true
 559,TV LG 55UN7100 Smart,1308,147,,Disponible,lg,5,argent,true
 560,TV LG NanoCell 49NANO86,644,81,,Disponible,lg,7,argent,true
 561,TV LG 55UN7100 Smart,885,129,,Disponible,lg,7,blanc,true
 562,TV Panasonic TX-65FZ800E,975,133,,Disponible,panasonic,7,noir,true
 563,TV Sony KDL32W6100BAEP,1487,32,,Disponible,sony,9,blanc,true
 564,TV Panasonic TX-58EX700E ,1295,6,,Disponible,panasonic,7,blanc,false
 565,TV Samsung 43TU7025,1376,101,2021-06-18,Bientôt Disponible,samsung,5,noir,true
 566,TV LG OLED55BX,579,78,,Disponible,lg,9,argent,false
 567,TV Philips 58PUS7505,1300,131,,Disponible,philips,8,blanc,false
 568,TV LG OLED55BX,1447,58,,Disponible,lg,8,blanc,false
 569,TV Philips 24PFS5505,1319,125,,Disponible,philips,9,blanc,true 
 570,TV Panasonic TX-55HX970E,950,91,,Disponible,panasonic,10,argent,true
 571,TV Hisense 65U8QF,500,86,,Disponible,hilsense,11,blanc,true
 572,TV Samsung Neo QE55QN85A UHD,1121,87,,Disponible,samsung,7,noir,true
 573,TV Philips 32PFS6805,881,118,,Disponible,philips,11,blanc,false
 574,TV Samsung UE65TU7125,537,61,,Disponible,samsung,11,argent,false
 575,TV Hisense 40A5700FA,1289,15,,Disponible,hilsense,6,noir,false
 576,TV Samsung 55TU7025,1082,138,,Disponible,samsung,9,argent,false
 577,TV Hisense H40B5600,651,40,,Disponible,hilsense,6,blanc,false
 578,TV Panasonic TX-55HZ980E,1159,78,,Disponible,panasonic,6,argent,false
 579,TV Philips The One 43PUS8545,1037,89,,Disponible,philips,10,blanc,true
 580,TV Samsung 55TU7025,618,101,2021-11-22,Bientôt Disponible,samsung,8,blanc,false 
 581,TV Philips The One 70PUS8545,1363,76,,Disponible,philips,8,argent,true
 582,TV Philips The One 43PUS8545,1545,108,,Disponible,philips,6,argent,true
 583,TV Samsung UE65TU7125,1010,131,,Disponible,samsung,7,blanc,false
 584,TV Panasonic TX-55HX970E,1248,100,,Disponible,panasonic,7,blanc,true
 585,TV Philips 43PUS7855,1393,21,,Disponible,philips,10,blanc,true
 586,TV Smart Hisense ,652,114,,Disponible,hilsense,11,argent,true
 587,TV Panasonic TX-49HX970E,1401,75,,Disponible,panasonic,7,argent,true
 588,TV Philips The One 58PUS8545,1409,3,,Disponible,philips,7,blanc,true
 589,TV Philips The One 58PUS8545,557,142,,Disponible,philips,6,argent,true
 590,TV LG 55NANO816NA,860,80,,Disponible,lg,10,argent,true 
 591,TV LG OLED77CX,1028,57,,Disponible,lg,7,blanc,false
 592,TV LG OLED48CX,1055,146,,Disponible,lg,10,blanc,false
 593,TV Hisense 50A7100F,778,52,,Disponible,hilsense,11,argent,true
 594,TV LG NanoCell 65NANO86,1442,13,,Disponible,lg,7,noir,true
 595,TV LG OLED65CX ,1312,124,,Disponible,lg,6,blanc,false
 596,TV Philips The One 50PUS8545,1369,26,,Disponible,philips,8,blanc,true
 597,TV LG OLED55CX ,1241,114,,Disponible,lg,6,argent,false
 598,TV Samsung QE85Q950TS,895,94,,Disponible,samsung,9,argent,true
 599,TV Sony 65X7056 LED,1096,55,,Disponible,sony,7,noir,false
 600,NTV LG 43UN7390OM,630,145,,Disponible,lg,11,argent,false 
 601,Apple iPhone SE ,738,58,,Disponible,apple,0.3,blanc,true
 602,Apple iPhone 12,748,86,,Disponible,apple,0.4,or,false
 603,Smartphone Honor 9X Lite,261,84,,Disponible,honor,0.4,vert,true
 604,Smartphone Samsung Galaxy S12,360,26,,Disponible,samsung,0.3,rouge,false
 605,Apple iPhone X,275,30,,Disponible,apple,0.3,or,false
 606,Smartphone Honor 10X Lite ,502,47,,Disponible,honor,0.2,argent,false
 607,Apple iPhone 11 plus,568,167,,Disponible,apple,0.4,vert,true
 608,Smartphone Huawei D2G,849,60,,Disponible,huawei,0.3,rouge,true
 609,Apple iPhone SE ,435,67,,Disponible,apple,0.4,bleu,true
 610,Smartphone Honor 9A,598,190,,Disponible,honor,0.5,or,true
 611,Smartphone Huawei 23G,484,3,,Disponible,huawei,0.2,rouge,true
 612,Smartphone Xiaomi Redmi Note 10S,612,152,,Disponible,xiaomi,0.2,argent,true
 613,Smartphone Xiaomi Redmi Note 10,402,101,,Disponible,xiaomi,0.5,rouge,false
 614,Smartphone Samsung Galaxy A10,475,166,,Disponible,samsung,0.2,or,true
 615,Apple iPhone 11,768,185,,Disponible,apple,0.3,vert,false
 616,Smartphone Samsung Galaxy S7,689,54,,Disponible,samsung,0.4,noir,true
 617,Smartphone Honor 9X,543,28,,Disponible,honor,0.3,blanc,false
 618,Apple iPhone 10S,418,172,,Disponible,apple,0.5,or,true
 619,Smartphone Samsung Galaxy S10 plus,848,139,,Disponible,samsung,0.4,blanc,false
 620,Apple iPhone 7,615,43,,Disponible,apple,0.4,or,true
 621,Apple iPhone 11 max,785,123,,Disponible,apple,0.3,rouge,false
 622,Smartphone Xiaomi Redmi Note 10,417,95,,Disponible,xiaomi,0.3,vert,true
 623,Smartphone Xiaomi Redmi Note 2G,570,88,,Disponible,xiaomi,0.4,blanc,true
 624,Apple iPhone 7 plus,180,10,2021-09-26,Bientôt Disponible,apple,0.3,vert,true
 625,Smartphone Xiaomi Redmi Note 9S,292,171,,Disponible,xiaomi,0.4,rouge,true
 626,Apple iPhone 8,891,32,,Disponible,apple,0.2,bleu,false
 627,Smartphone Samsung Galaxy S10,642,52,,Disponible,samsung,0.5,bleu,true
 628,Smartphone Huawei D2G lite,375,88,,Disponible,huawei,0.3,blanc,true
 629,Smartphone Samsung Galaxy A10,336,4,,Disponible,samsung,0.3,rouge,true
 630,Smartphone Samsung Galaxy A71,590,54,,Disponible,samsung,0.4,argent,false
 631,Apple iPhone 12 mini,445,153,,Disponible,apple,0.3,blanc,true
 632,Smartphone Samsung Galaxy A12,696,65,,Disponible,samsung,0.2,bleu,true
 633,Apple iPhone 12 pro max,308,97,,Disponible,apple,0.2,noir,true
 634,Smartphone Xiaomi Mi 9S Lite ,858,80,,Disponible,xiaomi,0.3,or,true
 635,Smartphone Huawei P30 Lite,488,167,,Disponible,huawei,0.3,rouge,true
