aid,cid,pid,note,avis,date_publi
 499,93,499,5,Rapport qualité prix satisfaisante,2016-12-18
 500,103,500,4.5,Suivi déplorable,2020-05-27
501,100,501,0.75,Excellent Produit,2020-12-08
 502,103,502,0.25,Qualité et durée de vie médiocre,2016-01-26
 503,3,503,0.75,Article super,2017-02-18
 504,83,504,1.25,Très satisfait de cet achat,2014-12-26
 505,79,505,0.25,Livraison Exemplaire,2014-09-02
 506,95,506,1.25,Excellent Produit,2014-07-07
 507,49,507,1,Très satisfait de cet achat,2020-03-16
 508,106,508,1,Livraison Exemplaire,2018-09-17
 509,192,509,0.5,Excellent Produit,2017-02-10
 510,181,510,4.75,Article super,2017-10-04
 511,75,511,1.25,Rapport qualité prix satisfaisante,2015-03-22
 512,80,512,2.5,Qualité et durée de vie médiocre,2017-08-19
 513,132,513,5,Excellent Produit,2021-02-11
 514,42,514,1.25,Suivi déplorable,2020-04-02
 515,192,515,1.25,Excellent Produit,2020-01-30
 516,30,516,1.25,Très satisfait de cet achat,2018-06-22
 517,1,517,2.5,Rapport qualité prix satisfaisante,2014-08-07
 518,39,518,0.5,Article super,2014-06-25
 519,14,519,4.75,Rapport qualité prix satisfaisante,2014-07-31
 520,55,520,4,Qualité et durée de vie médiocre,2020-08-25
 521,114,521,5,Très satisfait de cet achat,2020-05-20
 522,11,522,0.25,Rapport qualité prix satisfaisante,2014-03-17
 523,16,523,0.25,Très satisfait de cet achat,2014-02-15
 524,33,524,2,Qualité et durée de vie médiocre,2016-07-15
 525,54,525,5,Livraison Exemplaire,2020-01-11
 526,40,526,1,Excellent Produit,2018-05-07
 527,192,527,1.5,Suivi déplorable,2016-12-22
 528,67,528,1.5,Article super,2017-03-13
 529,195,529,0.25,Livraison Exemplaire,2019-08-11
 530,192,530,0.75,Excellent Produit,2019-07-23
 531,87,531,4.75,Très satisfait de cet achat,2014-05-18
 532,154,532,2,Qualité et durée de vie médiocre,2017-02-19
 533,158,533,4,Livraison Exemplaire,2014-11-03
 534,48,534,0.5,Livraison Exemplaire,2013-09-16
 535,61,535,4.5,Livraison Exemplaire,2020-09-07
 536,58,536,4.5,Qualité et durée de vie médiocre,2015-04-26
 537,94,537,4.25,Livraison Exemplaire,2017-03-03
 538,38,538,0.75,Article super,2020-12-14
 539,83,539,1,Suivi déplorable,2013-11-18
 540,153,540,0.25,Très satisfait de cet achat,2017-01-25
 541,31,541,4.75,Rapport qualité prix satisfaisante,2019-04-15
 542,145,542,4,Suivi déplorable,2018-07-18
 543,135,543,5,Excellent Produit,2020-12-17
 544,104,544,2.5,Livraison Exemplaire,2018-05-22
 545,188,545,1,Livraison Exemplaire,2019-12-06
 546,58,546,4.25,Qualité et durée de vie médiocre,2017-08-04
 547,105,547,4.75,Très satisfait de cet achat,2013-07-22
 548,191,548,3.75,Qualité et durée de vie médiocre,2018-06-01
 549,162,549,1.5,Article super,2014-12-07
 550,65,550,4,Excellent Produit,2017-10-10
 551,187,551,4.25,Très satisfait de cet achat,2020-06-15
 552,120,552,0.25,Livraison Exemplaire,2020-01-20
 553,26,553,1.25,Livraison Exemplaire,2018-02-23
 554,135,554,1.25,Article super,2017-01-13
 555,193,555,2,Rapport qualité prix satisfaisante,2021-03-24
 556,29,556,5,Article super,2017-03-26
 557,135,557,0.25,Très satisfait de cet achat,2015-12-23
 558,24,558,5,Suivi déplorable,2017-05-16
 559,185,559,4.5,Qualité et durée de vie médiocre,2020-10-16
 560,41,560,1.25,Qualité et durée de vie médiocre,2014-09-03
 561,90,561,0.75,Article super,2020-07-19
 562,112,562,5,Livraison Exemplaire,2018-08-20
 563,24,563,0.75,Très satisfait de cet achat,2016-04-19
 564,199,564,5,Très satisfait de cet achat,2020-05-27
 565,50,565,4.75,Livraison Exemplaire,2015-12-31
 566,194,566,4.5,Excellent Produit,2021-01-05
 567,110,567,4.75,Qualité et durée de vie médiocre,2019-07-24
 568,43,568,4.5,Article super,2019-11-21
 569,199,569,2.5,Suivi déplorable,2014-09-05
 570,99,570,0.75,Suivi déplorable,2017-08-09
 571,49,571,4.25,Excellent Produit,2014-07-28
 572,26,572,4.25,Suivi déplorable,2020-01-14
 573,178,573,0.5,Très satisfait de cet achat,2021-02-15
 574,53,574,0.75,Livraison Exemplaire,2021-02-05
 575,86,575,2.5,Très satisfait de cet achat,2015-05-06
 576,80,576,0.25,Rapport qualité prix satisfaisante,2019-11-16
 577,103,577,1,Rapport qualité prix satisfaisante,2018-05-09
 578,45,578,4.5,Qualité et durée de vie médiocre,2016-03-27
 579,81,579,0.75,Excellent Produit,2018-10-27
 580,7,580,2.5,Qualité et durée de vie médiocre,2014-06-16
 581,136,581,1,Livraison Exemplaire,2014-07-17
 582,165,582,1,Suivi déplorable,2016-05-07
 583,80,583,1,Excellent Produit,2014-07-05
 584,75,584,2.5,Rapport qualité prix satisfaisante,2019-04-09
 585,28,585,2.5,Qualité et durée de vie médiocre,2015-06-11
 586,5,586,5,Qualité et durée de vie médiocre,2013-06-21
 587,139,587,1.5,Rapport qualité prix satisfaisante,2015-05-26
 588,160,588,4.25,Suivi déplorable,2020-07-04
 589,113,589,4.75,Article super,2013-12-16
 590,76,590,4.5,Très satisfait de cet achat,2018-03-17
 591,16,591,1.25,Très satisfait de cet achat,2019-12-08
 592,63,592,1.25,Très satisfait de cet achat,2020-03-29
 593,34,593,0.5,Article super,2019-03-16
 594,30,594,4.75,Article super,2019-03-26
 595,5,595,4.75,Très satisfait de cet achat,2013-07-08
 596,142,596,4,Livraison Exemplaire,2017-09-14
 597,138,597,0.5,Article super,2019-12-16
 598,82,598,1.5,Article super,2017-06-29
 599,154,599,4.75,Qualité et durée de vie médiocre,2020-10-04
 600,118,600,5,Rapport qualité prix satisfaisante,2016-04-01
601,193,601,1,Suivi déplorable,2018-09-24
 602,8,602,4,Rapport qualité prix satisfaisante,2019-01-08
 603,83,603,4.75,Excellent Produit,2015-12-13
 604,50,604,4.75,Excellent Produit,2019-06-21
 605,154,605,4.75,Article super,2013-11-22
 606,185,606,1.25,Article super,2019-09-02
 607,13,607,3.75,Suivi déplorable,2017-11-03
 608,166,608,1.25,Rapport qualité prix satisfaisante,2021-03-23
 609,196,609,0.5,Suivi déplorable,2020-06-10
 610,144,610,0.75,Rapport qualité prix satisfaisante,2017-11-07
 611,23,611,0.5,Article super,2014-11-05
 612,183,612,0.5,Excellent Produit,2015-05-04
 613,64,613,1.25,Qualité et durée de vie médiocre,2019-10-12
 614,185,614,1,Qualité et durée de vie médiocre,2017-11-11
 615,6,615,1.5,Rapport qualité prix satisfaisante,2017-05-08
 616,115,616,2,Rapport qualité prix satisfaisante,2016-10-03
 617,96,617,1.25,Très satisfait de cet achat,2016-04-30
 618,86,618,0.5,Livraison Exemplaire,2014-03-06
 619,85,619,4,Livraison Exemplaire,2020-07-20
 620,107,620,0.5,Rapport qualité prix satisfaisante,2014-01-17
 621,191,621,0.5,Rapport qualité prix satisfaisante,2013-11-17
 622,136,622,1,Livraison Exemplaire,2017-01-22
 623,59,623,3.75,Rapport qualité prix satisfaisante,2016-09-27
 624,151,624,1.25,Très satisfait de cet achat,2013-12-12
 625,176,625,0.75,Très satisfait de cet achat,2019-05-09
 626,73,626,0.5,Suivi déplorable,2020-10-06
 627,95,627,4.5,Rapport qualité prix satisfaisante,2015-02-03
 628,74,628,4,Excellent Produit,2020-04-07
 629,14,629,1.5,Article super,2015-03-11
 630,110,630,0.75,Qualité et durée de vie médiocre,2015-05-27
 631,71,631,1.25,Livraison Exemplaire,2017-12-14
 632,195,632,4.75,Rapport qualité prix satisfaisante,2019-11-03
 633,55,633,5,Très satisfait de cet achat,2016-09-21
 634,24,634,4,Livraison Exemplaire,2019-05-26
 635,13,635,4.5,Excellent Produit,2013-06-23
 636,83,636,0.25,Très satisfait de cet achat,2019-12-24
 637,118,637,1,Livraison Exemplaire,2021-04-15
 638,143,638,1.25,Livraison Exemplaire,2018-01-20
 639,101,639,2,Excellent Produit,2015-09-26
 640,5,640,5,Très satisfait de cet achat,2013-06-17
 641,111,641,4,Rapport qualité prix satisfaisante,2019-07-24
 642,46,642,4.5,Livraison Exemplaire,2017-05-31
 643,185,643,1.25,Qualité et durée de vie médiocre,2019-11-10
 644,124,644,4.5,Article super,2015-03-06
 645,127,645,0.5,Excellent Produit,2020-10-31
 646,180,646,1.5,Qualité et durée de vie médiocre,2016-01-02
 647,39,647,5,Qualité et durée de vie médiocre,2016-06-19
 648,195,648,5,Qualité et durée de vie médiocre,2019-10-05
 649,193,649,4,Article super,2020-10-20
 650,81,650,1,Rapport qualité prix satisfaisante,2014-01-05
 651,19,651,4.75,Rapport qualité prix satisfaisante,2021-01-14
 652,193,652,0.25,Rapport qualité prix satisfaisante,2019-09-11
 653,28,653,2.5,Suivi déplorable,2014-06-19
 654,83,654,3.75,Suivi déplorable,2016-12-26
 655,134,655,1.5,Suivi déplorable,2013-08-13
 656,58,656,4,Rapport qualité prix satisfaisante,2013-07-11
 657,154,657,1,Excellent Produit,2018-06-28
 658,11,658,4.5,Très satisfait de cet achat,2018-11-09
 659,172,659,4,Article super,2015-02-21
 660,52,660,1,Excellent Produit,2020-02-26
 661,89,661,2,Suivi déplorable,2017-03-22
 662,110,662,1,Article super,2019-01-11
 663,164,663,0.5,Rapport qualité prix satisfaisante,2018-07-04
 664,193,664,3.75,Suivi déplorable,2015-02-14
 665,170,665,4,Excellent Produit,2016-05-15
 666,42,666,0.5,Qualité et durée de vie médiocre,2021-02-23
 667,131,667,3.75,Très satisfait de cet achat,2020-09-15
 668,159,668,4,Rapport qualité prix satisfaisante,2018-09-25
 669,21,669,1.25,Excellent Produit,2016-12-27
 670,116,670,1.5,Suivi déplorable,2018-03-09
 671,95,671,1.5,Excellent Produit,2013-12-05
 672,21,672,0.75,Très satisfait de cet achat,2019-11-06
 673,198,673,2.5,Très satisfait de cet achat,2021-04-28
 674,96,674,5,Livraison Exemplaire,2014-02-24
 675,141,675,0.75,Suivi déplorable,2019-01-24
 676,53,676,0.25,Très satisfait de cet achat,2020-01-08
 677,171,677,1,Qualité et durée de vie médiocre,2017-02-06
 678,139,678,5,Suivi déplorable,2017-10-26
 679,45,679,1.25,Qualité et durée de vie médiocre,2018-11-05
 680,142,680,4.75,Suivi déplorable,2015-07-26
 681,69,681,2.5,Qualité et durée de vie médiocre,2019-04-01
 682,63,682,5,Qualité et durée de vie médiocre,2014-03-11
 683,4,683,0.75,Article super,2019-10-31
 684,67,684,0.75,Qualité et durée de vie médiocre,2016-12-11
 685,19,685,3.75,Suivi déplorable,2016-12-27
 686,87,686,2,Très satisfait de cet achat,2017-03-12
 687,54,687,3.75,Livraison Exemplaire,2014-11-05
 688,36,688,4,Article super,2016-08-17
 689,16,689,4.25,Livraison Exemplaire,2013-10-28
 690,59,690,5,Rapport qualité prix satisfaisante,2019-06-13
 691,89,691,2,Article super,2019-08-13
 692,116,692,1.25,Suivi déplorable,2020-07-26
 693,150,693,0.5,Qualité et durée de vie médiocre,2015-05-09
 694,132,694,1.25,Très satisfait de cet achat,2014-10-21
 695,82,695,0.75,Suivi déplorable,2017-05-25
 696,61,696,2.5,Livraison Exemplaire,2017-09-11
 697,78,697,2,Article super,2017-06-07
 698,138,698,4.25,Suivi déplorable,2014-04-20
 699,43,699,1.5,Qualité et durée de vie médiocre,2015-11-21
 700,156,700,1.5,Article super,2019-06-14
 701,171,152,0.25,Suivi déplorable,2017-09-28
 702,94,661,1.25,Très satisfait de cet achat,2015-04-10
 703,125,61,0.75,Excellent Produit,2020-10-04
 704,95,202,4.5,Excellent Produit,2018-04-08
 705,146,393,2,Qualité et durée de vie médiocre,2018-01-17
 706,109,386,3.75,Excellent Produit,2021-01-15
 707,16,643,0.75,Excellent Produit,2018-05-01
 708,14,272,1.25,Qualité et durée de vie médiocre,2014-06-28
 709,156,676,1.25,Livraison Exemplaire,2020-07-08
 710,152,240,2,Suivi déplorable,2020-08-07
 711,79,602,1.5,Suivi déplorable,2017-10-07
 712,189,170,0.75,Excellent Produit,2019-11-04
 713,139,618,1.5,Très satisfait de cet achat,2017-03-28
 714,44,679,0.75,Très satisfait de cet achat,2019-10-09
 715,111,397,0.75,Qualité et durée de vie médiocre,2019-01-24
 716,157,159,1,Article super,2017-12-31
 717,156,264,1,Suivi déplorable,2018-11-29
 718,183,24,0.25,Très satisfait de cet achat,2017-07-30
 719,112,167,3.75,Suivi déplorable,2018-01-18
 720,5,24,4.25,Excellent Produit,2019-06-17
 721,157,409,4.5,Suivi déplorable,2018-11-06
 722,23,406,4.25,Article super,2016-11-08
 723,82,68,0.25,Livraison Exemplaire,2014-06-30
 724,2,114,1.5,Excellent Produit,2017-05-08
 725,126,164,4.75,Très satisfait de cet achat,2017-03-06
 726,52,90,3.75,Excellent Produit,2019-09-04
 727,113,346,4.25,Rapport qualité prix satisfaisante,2019-04-05
 728,67,645,4.25,Très satisfait de cet achat,2020-09-02
 729,13,663,1.25,Rapport qualité prix satisfaisante,2016-03-24
 730,104,161,2,Article super,2013-10-31
 731,77,62,1.5,Article super,2014-02-17
 732,96,586,2,Suivi déplorable,2015-05-25
 733,118,58,3.75,Suivi déplorable,2017-12-05
 734,141,394,4,Article super,2015-10-03
 735,110,319,4.5,Très satisfait de cet achat,2015-12-07
 736,196,506,0.75,Suivi déplorable,2015-12-27
 737,127,629,4,Livraison Exemplaire,2013-11-01
 738,10,293,1.25,Livraison Exemplaire,2018-09-05
 739,23,351,1,Qualité et durée de vie médiocre,2018-01-14
 740,46,661,2,Rapport qualité prix satisfaisante,2013-11-03
 741,24,592,3.75,Article super,2018-02-24
 742,97,354,4.75,Qualité et durée de vie médiocre,2017-05-10
 743,193,246,1.25,Très satisfait de cet achat,2018-09-29
 744,29,150,5,Très satisfait de cet achat,2016-07-30
 745,49,387,1.25,Très satisfait de cet achat,2015-10-28
 746,62,80,0.25,Rapport qualité prix satisfaisante,2017-01-15
 747,93,364,0.25,Excellent Produit,2014-02-21
 748,27,545,0.75,Article super,2019-06-27
 749,166,551,2,Article super,2020-03-13
 750,134,700,3.75,Excellent Produit,2019-11-09
 751,167,516,5,Qualité et durée de vie médiocre,2018-01-01
 752,12,490,4,Très satisfait de cet achat,2016-08-18
 753,46,570,1,Rapport qualité prix satisfaisante,2016-12-19
 754,17,283,4.5,Suivi déplorable,2013-08-06
 755,22,126,1.5,Article super,2017-09-29
 756,173,533,2,Article super,2020-05-11
 757,26,445,1.25,Rapport qualité prix satisfaisante,2013-05-26
 758,15,591,4,Excellent Produit,2020-06-25
 759,16,289,3.75,Livraison Exemplaire,2018-10-29
 760,153,651,3.75,Excellent Produit,2018-07-01
 761,94,265,1.25,Suivi déplorable,2017-04-16
 762,83,672,4.5,Qualité et durée de vie médiocre,2015-01-02
 763,120,160,4.75,Livraison Exemplaire,2017-02-12
 764,67,489,2,Qualité et durée de vie médiocre,2020-03-23
 765,174,556,4.5,Excellent Produit,2020-09-17
 766,125,224,5,Très satisfait de cet achat,2014-01-21
 767,8,455,0.25,Article super,2014-01-15
 768,62,683,0.5,Article super,2019-08-20
 769,39,617,4.5,Livraison Exemplaire,2016-11-18
 770,110,348,0.5,Article super,2020-09-26
 771,60,20,4,Article super,2017-06-30
 772,101,47,2.5,Qualité et durée de vie médiocre,2017-11-16
 773,30,622,1.5,Article super,2019-08-16
 774,48,148,1.25,Très satisfait de cet achat,2021-05-01
 775,143,121,4.75,Rapport qualité prix satisfaisante,2020-11-05
 776,69,371,0.25,Livraison Exemplaire,2016-06-11
 777,109,476,2.5,Très satisfait de cet achat,2015-04-12
 778,168,48,4.25,Suivi déplorable,2016-03-13
 779,166,462,4.75,Suivi déplorable,2019-04-15
 780,44,214,1.5,Suivi déplorable,2014-09-22
 781,170,27,4,Excellent Produit,2018-08-18
 782,47,216,4,Très satisfait de cet achat,2016-04-05
 783,115,689,4.5,Rapport qualité prix satisfaisante,2018-09-03
 784,77,82,4.75,Article super,2020-01-18
 785,127,143,2.5,Très satisfait de cet achat,2016-12-22
 786,73,382,5,Très satisfait de cet achat,2019-07-06
 787,95,186,4.75,Excellent Produit,2018-09-19
 788,25,661,4.5,Très satisfait de cet achat,2019-07-24
 789,37,437,3.75,Article super,2019-12-15
 790,76,630,0.25,Rapport qualité prix satisfaisante,2020-04-08
 791,6,619,1,Article super,2017-10-23
 792,67,118,0.25,Livraison Exemplaire,2018-07-11
 793,46,80,2,Suivi déplorable,2015-05-27
 794,83,592,0.5,Article super,2017-10-04
 795,72,406,1.25,Très satisfait de cet achat,2013-10-10
 796,121,243,0.5,Rapport qualité prix satisfaisante,2016-02-06
 797,83,473,1.5,Article super,2018-11-03
 798,68,521,2.5,Article super,2018-08-28
 799,99,442,2.5,Livraison Exemplaire,2016-01-05
 800,139,627,4.75,Article super,2016-03-13
 801,154,626,5,Très satisfait de cet achat,2016-11-17
 802,105,307,4.75,Excellent Produit,2020-09-04
 803,42,592,2,Qualité et durée de vie médiocre,2021-04-13
 804,87,565,2.5,Article super,2018-07-31
 805,64,336,2.5,Très satisfait de cet achat,2018-12-26
 806,97,231,0.25,Article super,2015-10-03
 807,16,216,0.5,Qualité et durée de vie médiocre,2018-08-02
 808,71,351,3.75,Suivi déplorable,2017-02-07
 809,200,611,1.25,Livraison Exemplaire,2014-06-11
 810,179,254,4.5,Suivi déplorable,2014-11-08
 811,51,656,1.5,Article super,2017-01-08
 812,102,137,0.25,Rapport qualité prix satisfaisante,2017-08-18
 813,42,561,0.5,Très satisfait de cet achat,2019-01-05
 814,174,37,4.5,Suivi déplorable,2017-06-02
 815,156,386,0.5,Article super,2016-10-14
 816,31,31,4.75,Livraison Exemplaire,2015-08-20
 817,123,655,3.75,Rapport qualité prix satisfaisante,2020-06-22
 818,69,130,2,Suivi déplorable,2016-12-22
 819,49,502,1.5,Qualité et durée de vie médiocre,2016-09-05
 820,41,491,2.5,Rapport qualité prix satisfaisante,2014-07-16
 821,21,281,0.25,Livraison Exemplaire,2013-11-17
 822,33,254,1,Excellent Produit,2017-03-27
 823,196,17,4.5,Très satisfait de cet achat,2016-03-31
 824,199,213,4.75,Livraison Exemplaire,2018-08-18
 825,178,620,4.75,Très satisfait de cet achat,2021-01-16
 826,102,642,4,Qualité et durée de vie médiocre,2019-09-28
 827,175,401,1,Excellent Produit,2019-05-16
 828,140,557,4,Article super,2015-01-25
 829,27,242,4.25,Article super,2018-11-23
 830,31,156,4.5,Suivi déplorable,2014-09-01
 831,156,258,0.5,Qualité et durée de vie médiocre,2016-06-09
 832,198,678,5,Rapport qualité prix satisfaisante,2019-04-11
 833,47,601,1.5,Très satisfait de cet achat,2016-07-17
 834,62,63,4.5,Excellent Produit,2013-12-15
 835,182,35,4,Suivi déplorable,2015-10-01
 836,33,500,4.25,Article super,2015-03-14
 837,31,508,0.5,Très satisfait de cet achat,2019-03-04
 838,90,43,0.5,Qualité et durée de vie médiocre,2019-05-01
 839,189,587,1.25,Article super,2020-11-20
 840,96,17,4.75,Rapport qualité prix satisfaisante,2019-09-18
 841,63,273,1.25,Excellent Produit,2021-01-10
 842,65,574,4.25,Excellent Produit,2017-09-05
 843,157,33,0.25,Très satisfait de cet achat,2017-06-08
 844,182,698,2,Très satisfait de cet achat,2013-05-11
 845,68,247,0.75,Suivi déplorable,2016-05-26
 846,78,399,2.5,Rapport qualité prix satisfaisante,2018-10-24
 847,100,665,5,Rapport qualité prix satisfaisante,2015-06-04
 848,40,29,0.25,Suivi déplorable,2020-05-31
 849,92,632,0.5,Très satisfait de cet achat,2015-03-23
 850,68,242,1.5,Très satisfait de cet achat,2018-03-23
 851,119,553,4.75,Très satisfait de cet achat,2020-01-05
 852,193,215,4.75,Rapport qualité prix satisfaisante,2014-03-21
 853,52,284,0.5,Article super,2019-02-07
 854,82,266,5,Suivi déplorable,2020-12-08
 855,159,215,1.5,Rapport qualité prix satisfaisante,2018-01-14
 856,35,151,2.5,Rapport qualité prix satisfaisante,2019-08-16
 857,174,572,1.5,Suivi déplorable,2015-02-17
 858,167,605,2.5,Suivi déplorable,2015-12-24
 859,104,98,1.25,Très satisfait de cet achat,2018-09-28
 860,167,111,2,Suivi déplorable,2015-02-08
 861,30,90,1.25,Rapport qualité prix satisfaisante,2013-07-24
 862,87,676,1.25,Article super,2015-01-30
 863,187,351,1.5,Livraison Exemplaire,2014-10-25
 864,85,315,4.5,Rapport qualité prix satisfaisante,2014-01-24
 865,80,674,0.25,Rapport qualité prix satisfaisante,2017-01-23
 866,99,496,4.75,Suivi déplorable,2018-02-04
 867,15,137,5,Rapport qualité prix satisfaisante,2017-10-13
 868,43,65,4,Rapport qualité prix satisfaisante,2013-09-16
 869,190,1,1.5,Très satisfait de cet achat,2017-08-31
 870,52,243,2,Article super,2014-10-07
 871,100,390,0.75,Livraison Exemplaire,2019-11-25
 872,140,469,0.75,Qualité et durée de vie médiocre,2016-03-21
 873,173,172,3.75,Livraison Exemplaire,2020-04-10
 874,30,90,5,Article super,2020-02-19
 875,52,470,1.25,Qualité et durée de vie médiocre,2019-03-22
 876,148,59,0.5,Excellent Produit,2020-02-07
 877,174,533,0.25,Suivi déplorable,2017-01-12
 878,38,55,1.5,Article super,2019-05-08
 879,82,134,1.5,Très satisfait de cet achat,2020-07-27
 880,132,546,4,Livraison Exemplaire,2015-12-02
 881,110,684,1.25,Article super,2017-08-03
 882,93,465,1,Qualité et durée de vie médiocre,2019-03-25
 883,190,308,1.25,Très satisfait de cet achat,2013-07-14
 884,122,87,4.75,Livraison Exemplaire,2015-02-17
 885,23,80,4.25,Excellent Produit,2019-08-14
 886,56,482,2.5,Rapport qualité prix satisfaisante,2020-02-20
 887,129,693,4.25,Livraison Exemplaire,2014-08-29
 888,149,137,1.25,Suivi déplorable,2020-03-15
 889,7,255,0.75,Livraison Exemplaire,2013-12-04
 890,173,307,0.25,Très satisfait de cet achat,2013-06-19
 891,106,399,4.75,Qualité et durée de vie médiocre,2016-06-12
 892,41,136,4,Suivi déplorable,2017-01-19
 893,188,642,4,Livraison Exemplaire,2016-10-31
 894,104,674,2,Livraison Exemplaire,2019-01-10
 895,147,448,1.25,Article super,2019-04-28
 896,101,140,2,Excellent Produit,2013-11-17
 897,93,103,0.75,Livraison Exemplaire,2016-04-18
 898,179,42,2.5,Très satisfait de cet achat,2016-11-21
 899,14,531,4.75,Très satisfait de cet achat,2017-01-16
 900,87,486,4.25,Suivi déplorable,2019-09-21
901,130,548,1.25,Qualité et durée de vie médiocre,2019-03-23
 902,65,178,1.25,Qualité et durée de vie médiocre,2016-11-15
 903,129,171,2.5,Article super,2014-10-27
 904,126,30,2.5,Très satisfait de cet achat,2019-08-10
 905,95,186,2.5,Article super,2019-09-30
 906,21,464,2,Rapport qualité prix satisfaisante,2014-03-25
 907,176,189,1.5,Article super,2019-07-22
 908,128,73,1,Très satisfait de cet achat,2017-10-05
 909,9,474,4.5,Article super,2020-04-25
 910,77,110,4,Qualité et durée de vie médiocre,2019-09-01
 911,51,694,1.25,Excellent Produit,2014-02-01
 912,12,502,4.25,Livraison Exemplaire,2017-05-22
 913,2,195,4.75,Article super,2020-11-20
 914,130,491,0.5,Suivi déplorable,2015-01-29
 915,144,76,4.25,Très satisfait de cet achat,2018-02-04
 916,4,351,0.75,Article super,2016-02-17
 917,21,112,1,Qualité et durée de vie médiocre,2018-01-12
 918,10,29,3.75,Excellent Produit,2019-06-08
 919,18,489,4,Excellent Produit,2016-03-14
 920,108,73,4,Rapport qualité prix satisfaisante,2017-12-05
 921,84,629,0.75,Rapport qualité prix satisfaisante,2020-08-02
 922,80,309,4.5,Article super,2020-08-27
 923,120,212,0.75,Livraison Exemplaire,2014-09-11
 924,196,269,1.5,Article super,2016-03-04
 925,55,516,1.5,Livraison Exemplaire,2017-10-04
 926,84,73,0.25,Très satisfait de cet achat,2015-03-03
 927,140,691,0.75,Excellent Produit,2016-02-25
 928,147,225,5,Suivi déplorable,2021-01-28
 929,10,352,0.5,Article super,2020-03-12
 930,167,478,4,Article super,2020-02-25
 931,52,52,4,Suivi déplorable,2016-05-08
 932,148,537,1.5,Suivi déplorable,2015-06-11
 933,176,288,0.25,Article super,2020-02-23
 934,139,121,3.75,Rapport qualité prix satisfaisante,2017-08-22
 935,22,366,1,Suivi déplorable,2014-12-20
 936,89,1,4.25,Qualité et durée de vie médiocre,2020-08-03
 937,151,470,0.5,Article super,2018-01-30
 938,168,514,0.75,Suivi déplorable,2016-01-28
 939,74,286,3.75,Très satisfait de cet achat,2016-05-13
 940,29,77,0.25,Excellent Produit,2017-11-13
 941,59,179,1,Excellent Produit,2019-06-27
 942,122,171,4.75,Excellent Produit,2020-08-15
 943,129,161,0.25,Article super,2019-01-27
 944,146,384,0.5,Très satisfait de cet achat,2018-11-14
 945,180,690,1.5,Excellent Produit,2017-07-14
 946,197,175,0.75,Qualité et durée de vie médiocre,2017-06-03
 947,167,591,4.5,Très satisfait de cet achat,2013-09-07
 948,13,490,4.5,Rapport qualité prix satisfaisante,2016-06-16
 949,28,286,1.5,Excellent Produit,2018-01-27
 950,51,423,4,Rapport qualité prix satisfaisante,2019-08-15
 951,126,498,4.25,Qualité et durée de vie médiocre,2020-04-21
 952,135,226,3.75,Qualité et durée de vie médiocre,2019-07-26
 953,181,191,0.5,Livraison Exemplaire,2019-05-01
 954,39,552,1,Qualité et durée de vie médiocre,2017-10-19
 955,110,493,5,Rapport qualité prix satisfaisante,2013-12-29
 956,61,14,1.5,Rapport qualité prix satisfaisante,2016-10-16
 957,144,647,5,Livraison Exemplaire,2017-05-13
 958,33,289,1,Suivi déplorable,2020-03-30
 959,172,375,4.5,Qualité et durée de vie médiocre,2018-10-02
 960,149,677,3.75,Livraison Exemplaire,2013-07-27
 961,60,12,4,Article super,2019-08-31
 962,155,549,1.5,Excellent Produit,2015-09-03
 963,80,584,5,Qualité et durée de vie médiocre,2018-02-17
 964,35,469,4.5,Livraison Exemplaire,2015-10-08
 965,42,321,4.75,Excellent Produit,2017-07-16
 966,94,555,1.25,Excellent Produit,2017-01-08
 967,106,450,4,Livraison Exemplaire,2019-10-02
 968,36,584,4.75,Excellent Produit,2014-05-15
 969,174,567,0.25,Très satisfait de cet achat,2015-04-23
 970,143,583,4.5,Qualité et durée de vie médiocre,2016-09-04
 971,60,403,1.5,Suivi déplorable,2020-03-03
 972,72,546,4.5,Livraison Exemplaire,2015-12-19
 973,24,19,1.5,Rapport qualité prix satisfaisante,2018-01-19
 974,131,361,2.5,Suivi déplorable,2016-06-03
 975,107,192,1,Qualité et durée de vie médiocre,2015-06-04
 976,169,195,3.75,Excellent Produit,2014-02-18
 977,154,325,2,Très satisfait de cet achat,2018-08-07
 978,171,272,2,Excellent Produit,2013-07-01
 979,182,290,5,Qualité et durée de vie médiocre,2017-09-18
 980,75,41,2,Suivi déplorable,2018-10-11
 981,35,117,0.75,Livraison Exemplaire,2017-09-24
 982,4,128,4.75,Livraison Exemplaire,2015-06-04
 983,61,589,5,Suivi déplorable,2017-04-22
 984,32,314,4.75,Article super,2016-07-23
 985,65,323,2,Excellent Produit,2019-02-03
 986,35,337,5,Excellent Produit,2014-12-28
 987,146,135,1.5,Excellent Produit,2017-03-16
 988,96,284,4.75,Excellent Produit,2014-10-05
 989,37,548,3.75,Livraison Exemplaire,2014-11-02
 990,165,572,4.25,Excellent Produit,2019-08-12
 991,23,207,1,Très satisfait de cet achat,2016-04-14
 992,59,692,0.5,Très satisfait de cet achat,2017-04-22
 993,110,558,4.5,Rapport qualité prix satisfaisante,2020-02-10
 994,73,127,1.25,Rapport qualité prix satisfaisante,2015-07-03
 995,114,158,4,Qualité et durée de vie médiocre,2017-06-04
 996,47,77,4.25,Qualité et durée de vie médiocre,2016-10-18
 997,60,356,1.5,Qualité et durée de vie médiocre,2019-03-01
